route_id,name,latitude,longitude
30300001,42740,36.365704,127.352036
30300001,42720,36.36286,127.353004
30300001,42710,36.36042,127.35253
30300001,42700,36.360806,127.34954
30300001,42600,36.36156,127.34412
30300001,41350,36.357758,127.3426
30300001,41320,36.35488,127.34153
30300001,41290,36.35433,127.33983
30300001,41200,36.35589,127.336685
30300001,42110,36.35832,127.336395
30300001,42090,36.361187,127.33618
30300001,42140,36.364986,127.33864
30300001,42530,36.369427,127.34012
30300001,42560,36.37433,127.34173
30300001,42580,36.37747,127.34274
30300001,42971,36.38403,127.34612
30300001,81990,36.38594,127.34803
30300001,81220,36.388996,127.348015
30300001,82000,36.390785,127.34977
30300001,82010,36.39207,127.35103
30300001,82020,36.394287,127.35275
30300001,43360,36.395924,127.35568
30300001,43380,36.392006,127.3592
30300001,43420,36.39007,127.362274
30300001,43080,36.383816,127.36686
30300001,43100,36.385334,127.373116
30300001,43200,36.386528,127.37881
30300001,43230,36.38845,127.37959
30300001,44010,36.39028,127.390755
30300001,44020,36.390236,127.39686
30300001,44070,36.390724,127.4051
30300001,44240,36.39646,127.405
30300001,44250,36.400837,127.40498
30300001,44200,36.403587,127.40498
30300001,44210,36.40358,127.40483
30300001,44230,36.400772,127.404816
30300001,44180,36.39971,127.40374
30300001,44170,36.39973,127.40078
30300001,44110,36.399727,127.39738
30300001,45850,36.402363,127.397606
30300001,44130,36.40469,127.397675
30300001,44300,36.40894,127.39585
30300001,44410,36.410706,127.39426
30300001,47050,36.41508,127.39353
30300001,47090,36.417316,127.39279
30300001,47110,36.418785,127.38794
30300001,44540,36.420033,127.38616
30300001,44560,36.42417,127.38874
30300001,44670,36.425644,127.39289
30300001,46280,36.42222,127.39723
30300001,82310,36.42202,127.40115
30300001,82330,36.42062,127.40433
30300001,82350,36.416348,127.40682
30300001,82370,36.413357,127.40698
30300001,82360,36.415512,127.40707
30300001,82340,36.42086,127.40454
30300001,82320,36.422043,127.40179
30300001,44680,36.425766,127.39311
30300001,44550,36.423775,127.38831
30300001,44530,36.42006,127.38592
30300001,47100,36.41857,127.38797
30300001,47120,36.417107,127.39259
30300001,47040,36.415234,127.3934
30300001,44400,36.410786,127.39411
30300001,44290,36.40883,127.39574
30300001,44120,36.405052,127.397545
30300001,45840,36.403206,127.39759
30300001,44100,36.39953,127.39743
30300001,44160,36.399548,127.399574
30300001,44250,36.400837,127.40498
30300001,44200,36.403587,127.40498
30300001,44210,36.40358,127.40483
30300001,44230,36.400772,127.404816
30300001,44220,36.397938,127.404785
30300001,44060,36.396286,127.404785
30300001,46500,36.392475,127.40487
30300001,44040,36.390182,127.40303
30300001,44030,36.390175,127.40006
30300001,44000,36.39053,127.39064
30300001,43160,36.386528,127.37846
30300001,43140,36.385826,127.37734
30300001,43120,36.38567,127.373116
30300001,43090,36.38417,127.36712
30300001,43460,36.385647,127.363686
30300001,43430,36.390736,127.36219
30300001,43390,36.392178,127.359505
30300001,43370,36.394764,127.35649
30300001,81320,36.394547,127.35264
30300001,81290,36.392185,127.350945
30300001,81270,36.390903,127.34964
30300001,81230,36.3893,127.348076
30300001,81170,36.385933,127.347855
30300001,42940,36.38425,127.345634
30300001,42570,36.377274,127.34237
30300001,42550,36.374523,127.34144
30300001,42540,36.37055,127.34012
30300001,42130,36.36625,127.33871
30300001,42120,36.363605,127.3376
30300001,42100,36.358776,127.33625
30300001,41210,36.35465,127.33812
30300001,41330,36.354378,127.34202
30300001,41360,36.35811,127.34342
30300001,42610,36.360374,127.34432
